[2025-06-09T19:02:29.459+0200] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-06-09T19:02:29.478+0200] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: backfill_pollution_weather_dag.format_backfill_all_data manual__2025-06-09T16:59:48.712184+00:00 [queued]>
[2025-06-09T19:02:29.484+0200] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: backfill_pollution_weather_dag.format_backfill_all_data manual__2025-06-09T16:59:48.712184+00:00 [queued]>
[2025-06-09T19:02:29.485+0200] {taskinstance.py:2303} INFO - Starting attempt 1 of 2
[2025-06-09T19:02:29.508+0200] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): format_backfill_all_data> on 2025-06-09 16:59:48.712184+00:00
[2025-06-09T19:02:29.514+0200] {standard_task_runner.py:63} INFO - Started process 190603 to run task
[2025-06-09T19:02:29.520+0200] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'backfill_pollution_weather_dag', 'format_backfill_all_data', 'manual__2025-06-09T16:59:48.712184+00:00', '--job-id', '437', '--raw', '--subdir', 'DAGS_FOLDER/backfill_dag.py', '--cfg-path', '/tmp/tmpxv13c5hg']
[2025-06-09T19:02:29.521+0200] {standard_task_runner.py:91} INFO - Job 437: Subtask format_backfill_all_data
[2025-06-09T19:02:29.565+0200] {task_command.py:426} INFO - Running <TaskInstance: backfill_pollution_weather_dag.format_backfill_all_data manual__2025-06-09T16:59:48.712184+00:00 [running]> on host DESKTOP-2QS8J6D.
[2025-06-09T19:02:29.647+0200] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='backfill_pollution_weather_dag' AIRFLOW_CTX_TASK_ID='format_backfill_all_data' AIRFLOW_CTX_EXECUTION_DATE='2025-06-09T16:59:48.712184+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-09T16:59:48.712184+00:00'
[2025-06-09T19:02:29.648+0200] {taskinstance.py:430} INFO - ::endgroup::
[2025-06-09T19:02:42.990+0200] {logging_mixin.py:188} INFO - [CITY] Processing: istanbul
[2025-06-09T19:02:42.991+0200] {logging_mixin.py:188} INFO - [CITY] Processing: moscow
[2025-06-09T19:02:42.992+0200] {logging_mixin.py:188} INFO - [CITY] Processing: london
[2025-06-09T19:02:42.992+0200] {logging_mixin.py:188} INFO - [CITY] Processing: saint_petersburg
[2025-06-09T19:02:52.143+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/saint_petersburg/2024-06-01
[2025-06-09T19:02:52.149+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/london/2024-06-01
[2025-06-09T19:02:52.383+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2024-06-01
[2025-06-09T19:02:53.077+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2024-06-01
[2025-06-09T19:02:53.737+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/london/2024-06-02
[2025-06-09T19:02:54.236+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/saint_petersburg/2024-06-02
[2025-06-09T19:02:54.656+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2024-06-02
[2025-06-09T19:02:55.174+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2024-06-02
[2025-06-09T19:02:55.560+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/london/2024-06-03
[2025-06-09T19:02:55.912+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/saint_petersburg/2024-06-03
